Sample,Type,Class,TPO,TG,NT5E,SLC5A5,ANPEP,CCND1,GAB2,HPSE,DAPK1,EIF5A2,KIT,PTPN14,SFTPC,GATA3
KS.A4I3.01,Other,Tumour,"8,20","14,16",",95","-,55","-2,53","1,18",",69","-,18","-2,47","-1,14","-,65","-,31","-,68",",34"
DJ.A3V3.01,Other,Tumour,"9,51","14,68","1,09",",74","-1,25","1,55","-,65","-,98",",48","-1,25","1,26","-1,16","-1,38","2,03"
DJ.A3VK.01,Other,Tumour,"12,46","15,33","-,34",",20","-2,14","1,21","-,57","-2,33","-2,23","-1,85","-,49","-1,32","2,88","-,89"
ET.A25N.01,Other,Tumour,"10,49","14,25","3,63","3,18","-3,16","2,29","-,11","1,88","-,02",",26",",11","1,51","-2,87","2,29"
ET.A2N3.01,Other,Tumour,"12,69","14,64","-,95","1,80","-3,13","1,14","-2,92","-4,30",",81","-,57","2,95","-1,37","2,32","-3,22"
EL.A3CU.01,Other,Tumour,"7,47","13,22","2,47",",36","-,67","1,52",",14",",43","-1,18","-,44",",00",",95","-2,87","1,12"
EM.A2P3.01,Other,Tumour,"8,32","13,60","2,51","-,18","-1,46","1,31",",33",",35","-,69","-,52",",06",",88","-1,22","2,02"
BJ.A28X.01,Classical,Tumour,"9,34","13,10","2,42","1,82",",15","1,21",",27",",35",",01","-,48",",11",",28","-,57","1,74"
EM.A2CR.01,Other,Tumour,"12,82","16,37","-1,93","-,11","-1,53","2,64","-1,33","-1,67","-2,15","-2,41","1,24","-,85",",74",",01"
DE.A0XZ.01,Other,Tumour,"3,93","14,04","2,42","-1,41","-,79","1,85","-,27","-1,03",",10","-1,36","-1,85",",22","-1,75","2,13"
ET.A3DP.01,Classical,Tumour,"9,94","14,07","2,75","-1,12","-1,82","1,74",",62","-,33","-,34","-1,01",",14","2,10","-1,75","1,73"
EM.A2CL.01,Other,Tumour,"15,34","16,50",",15","-1,36","-2,87","1,54","-1,42","-3,76","-,75","-,69","4,27",",37","2,24","-4,49"
EL.A3ZQ.01,Classical,Tumour,"5,31","13,00","1,71","-,69","-1,84","2,39","-1,67","-1,10","-3,56","-2,22","-2,88","-1,72","-,40","3,90"
EM.A22K.01,Other,Tumour,"13,38","16,54","-1,19",",66","-2,67","1,81","-,32","-2,30","-1,34","-,87","1,55","-,06","1,78","-,68"
DE.A4M9.01,Other,Tumour,"13,23","15,16",",46","-2,24","-3,16",",62","-,92","-3,71","-,98","-1,38","2,23","-,82",",69",",96"
EL.A4KD.01,Other,Tumour,"13,14","14,63","1,74","4,93","-,04","1,35","-,60","-1,21","-1,03","-,91","1,73","-,07",",51","-,59"
EL.A3T1.01,Classical,Tumour,"3,05","11,95","2,63","-1,01","-,97","1,98",",24",",65","-,82","-2,25","-2,56","1,10","-2,53","1,42"
MK.A84Z.01,Other,Tumour,"13,80","15,68",",89",",38","-3,52","1,64","-,56","-2,41","-3,29","-,99","-,05","-,85","1,88","-3,19"
FE.A238.01,Other,Tumour,"9,57","14,95",",47","-1,86","-2,23","1,49",",75",",27","-1,46","-1,96","-,83",",62","-1,23","3,10"
EM.A4FH.01,Other,Tumour,"15,20","15,80",",23",",27","-3,53","-,05","-1,90","-4,86","-1,61","-,37","4,49","-1,67","3,03",",80"
MK.A4N7.01,Other,Tumour,"3,15","13,04","3,27","-2,24","-2,38","1,31",",13","-1,51","1,71","-1,23","-1,24",",52","-2,87","2,60"
EM.A4G1.01,Other,Tumour,"12,22","13,76","2,60","-1,68","-2,60",",21",",17","-,39","-2,51","-,72","-,53","-,62","1,25","-,79"
BJ.A0YZ.01,Other,Tumour,"12,12","15,31","-,04","-1,07","-2,48","1,33","-,94","-3,40","-1,56","-1,39","1,32",",21","1,17","-,06"
DJ.A3UR.01,Other,Tumour,"8,49","15,02",",57","-,52","-2,57","1,00",",04","-2,73",",59","-2,72",",38","-,13","-2,14","1,81"
J8.A42S.01,Other,Tumour,"10,84","14,43","1,58","1,99","-1,38",",77","-,14","-1,00",",05","-1,38","2,16",",10","-,61","1,82"
ET.A2N0.01,Other,Tumour,"9,85","13,81",",95","4,14","-2,30","1,18","-,58",",88","-2,11","-1,84","-1,01","-1,47",",59","1,70"
FY.A3NN.01,Other,Tumour,"9,65","15,14","-,84","-2,24","-2,20","1,31",",42",",18","-,92","-1,27","-,66",",53","-1,18",",89"
GE.A2C6.01,Classical,Tumour,"6,13","13,58","2,92","-,82","-,75","1,66",",43","-,82","-,35","-1,23","-,24",",96","-2,45","1,60"
DJ.A1QI.01,Other,Tumour,"4,29","13,82","3,10","-1,07","-1,96","1,94","-,20","-,45","1,99","-,75","-1,29","1,30","-2,87","2,22"
FY.A40M.01,Other,Tumour,"6,54","8,75","-,48","-1,55","-3,15","1,41",",50","1,38","-1,75","-1,08",",57","-,32","-,15","2,66"
DJ.A2Q0.01,Other,Tumour,"12,75","6,27","-,28","-2,24","-3,36","-,05","1,90","-2,08","-4,27","-,63","1,29","-,42","4,12","-2,99"
EM.A2OY.01,Other,Tumour,"14,31","14,92",",38","-2,24","-3,77","-1,66",",46","-4,16","-3,67","-,53","3,48","-1,06","5,81","-5,20"
BJ.A0Z9.01,Other,Tumour,"-,87","12,57","4,67","-1,25","-1,51","3,89","-,63",",58","-,93","-,71","-3,55",",03","-2,87",",52"
EM.A1CV.01,Classical,Tumour,"4,52","15,20",",56","-2,24","-,89","1,73","-,07","-1,34","-,52","-,83","-1,91","1,06","4,91","-,39"
BJ.A28T.01,Other,Tumour,"14,39","14,43",",85","10,78",",03",",30","-,08","-,38",",26","-,30","2,49",",07","1,81","2,29"
ET.A40Q.01,Other,Tumour,"4,88","13,02","1,80","-,61","-,21",",76","-,23","-,67","-,71","-1,69","-2,44","-,69","-2,53","1,43"
