Sample,Type,Class,TPO,TG,NT5E,SLC5A5,ANPEP,CCND1,GAB2,HPSE,DAPK1,EIF5A2,KIT,PTPN14,SFTPC,GATA3
E8.A436.01,Other,Tumour,"11,04","13,91","2,03","5,16",",09","1,69","-,17","-,76","-,35","-1,18","1,13","-,15","-1,25",",85"
DE.A2OL.01,Other,Tumour,"14,15","15,27",",14","4,53","-3,37","1,96","-1,49","-3,75",",80",",02","3,46",",36","1,42","1,94"
BJ.A45C.01,Other,Tumour,"14,78","15,52","2,83","3,52","-3,30",",83","-1,07","-3,88","-,07","-,94","3,13","-,98","1,07",",00"
EL.A4JV.01,Other,Tumour,"13,01","16,20",",55",",85","-2,63","1,67","-,24","-2,77","-2,36","-1,63","2,24","-,73","2,49","-3,61"
E8.A419.01,Other,Tumour,"8,38","11,91","2,86",",11","-1,06","1,86","-,12",",36","-,62","-1,44","-2,11","-,65","-2,87","1,67"
E3.A3E0.01,Other,Tumour,"11,31","14,73","1,81","2,02","-2,69",",96","-,55","-,31","-,12","-1,16","2,56","-,62","-,25","1,41"
H2.A2K9.01,Other,Tumour,"14,76","14,13","-2,62",",26","-5,45","2,70","-1,91","-2,67","-2,14","-1,17","-,38",",22",",44","-,47"
FE.A230.01,Other,Tumour,"9,08","13,56","3,59","-1,18","-2,32","1,94",",57","1,47","-,21","-1,28","-,83","1,18","-2,87","1,56"
BJ.A0Z0.01,Other,Tumour,"14,74","16,73",",39","4,58","-4,98","1,33","-1,89","-2,60","-,44","-1,34","4,48",",34","-,56",",43"
EL.A3ZO.01,Classical,Tumour,"8,09","10,78","2,66",",24","1,19","1,44","-,18","-,64","-1,66","-,76","-2,44","-,14","-2,87","1,44"
DJ.A2PR.01,Other,Tumour,"10,07","12,38","4,49","-1,55","-3,41","1,61",",04",",43","-,63","-,38",",11",",63","-2,48","-,87"
DJ.A3V5.01,Other,Tumour,"8,97","14,31","1,89","-,47","-1,11","1,02",",24","-,53","-,75","-1,75","1,67",",42","-1,72","1,80"
EL.A3GR.01,Other,Tumour,"10,98","13,52","4,04","4,21","-1,17","2,56",",20","1,35",",45","-,59","1,24","2,14","-1,49","2,22"
EL.A4KH.01,Other,Tumour,"9,66","14,29",",54","3,49","-2,39","1,28","-,63","-3,59","-1,96","-3,02","-,90","-1,28","-1,52","1,67"
L6.A4EP.01,Other,Tumour,"9,31","13,12","2,43","1,99","-2,64","2,01","-1,13","-,95","-1,60","-1,73","-,64","-,77","-1,14","2,68"
ET.A39T.01,Other,Tumour,"8,77","14,27","2,19","-1,77","-2,45",",70",",36",",74","-1,34","-2,18",",62",",47","-2,40","1,33"
DJ.A3UP.01,Other,Tumour,"9,80","15,44","2,73","-1,53","-3,33","1,65",",33","-2,31","-,47","-,96",",87","-,15","-,51",",06"
J8.A3YE.01,Other,Tumour,"5,54","14,30","1,45","-,53","-5,41",",40","-,07",",10","-1,62","-,80","-,60","-,35","-2,15",",67"
DJ.A3UT.01,Other,Tumour,"14,99","15,92","1,51","5,41","-2,71",",99","-,96","-3,00","-1,47","-,76","2,33","-,80","3,31","-2,40"
BJ.A2N9.01,Classical,Tumour,"15,46","15,42",",56","1,73","-1,71","-,28","-1,56","-2,38","-2,26","-2,24","3,08","-2,49","4,41",",85"
BJ.A0ZH.01,Other,Tumour,"8,21","13,01","1,32","-1,22","-,76","2,06",",34","-,65","-1,81","-1,82","-1,38","-,56","5,34","1,33"
BJ.A0ZA.01,Other,Tumour,"15,28","16,12","2,04","6,17","-2,68","1,49",",14","-3,12","-2,21","-1,32","2,90",",27","1,96","-,32"
EM.A1CS.01,Classical,Tumour,"8,23","15,53",",15","1,05","-2,48","1,44",",56","-1,70",",58","-1,34","-,27","1,58","-2,50","1,59"
FY.A40N.01,Other,Tumour,"13,09","14,93","2,63","6,18","-3,54","1,48","-,67","-,36","-,63","-1,11","-1,22","-,04",",12","2,03"
DJ.A2QC.01,Other,Tumour,"8,39","14,93",",92","-1,73","-2,14","1,55","-,56","-1,85","-,77","-1,80","-1,23","-1,25","-,88","2,14"
EL.A3TA.01,Classical,Tumour,"12,49","14,15","1,86","5,58","-,30",",72","-,58","-1,50",",09","-1,12","1,53","-1,04",",92","1,66"
E8.A242.01,Other,Tumour,"5,15","12,93","3,86","-,68",",17","2,66",",26",",49","-,62","-1,15","-1,36",",25","-2,23","1,22"
EM.A1YE.01,Other,Tumour,"15,06","15,49","-,19","5,26","-2,42",",33","-1,68","-4,50","-2,44","-,59","4,45","-1,89","3,42",",61"
DJ.A3UV.01,Other,Tumour,"13,31","15,42","2,10","7,03","-,79","1,33","-,89","-,81","-,55","-,65","2,67",",51","1,06",",81"
H2.A3RH.01,Other,Tumour,"10,53","13,55","3,15","1,95","-3,09","2,57","-,86","-,73","-1,06","-1,15",",51","-,20","1,23","1,29"
ET.A39O.01,Other,Tumour,"8,14","13,28","3,32",",77","-,95","1,82","-,10",",35","-1,30","-1,66","-1,89","-,17","-2,87",",58"
FE.A22Z.01,Other,Tumour,"3,18","13,33","3,08","-2,24","-1,32","2,71",",14",",03","-2,15","-1,49","-2,43","1,04","-2,26","1,63"
DJ.A2QB.01,Other,Tumour,"13,95","16,23","-1,19","1,29","-1,90","1,59",",16","-3,33","-2,89","-,45",",58","-,86","2,99","-,92"
EL.A3T9.01,Other,Tumour,"10,09","9,49","3,11","1,81",",52","1,15","-,60","-2,32","-,99","-,37","-1,65",",01","-2,87",",48"
DJ.A1QQ.01,Other,Tumour,"10,26","14,40","3,41","5,28","-2,41","2,49","-,17","1,07","-,05","-1,01","1,44","1,49","-2,08","1,05"
DE.A4MD.01,Other,Tumour,"4,88","12,02",",56","-2,24","-2,07",",27","-1,34",",97","-,79","-3,16","-2,58","-,28","-2,06","2,20"
ET.A39I.01,Other,Tumour,"14,40","16,57",",44","6,74","-3,06","1,75","-,67","-2,41","-3,36","-1,03","1,73","-,24","2,27",",39"
BJ.A18Y.01,Other,Tumour,"14,40","16,55",",72","5,38","-2,27","1,49","-,45","-3,25","-1,23","-,60","2,52","-,48","1,93","-,31"
DJ.A2Q3.01,Other,Tumour,"10,26","13,81","3,08","2,82","-1,01","2,35",",32",",69","-,36","-,51","2,20",",95","-1,34",",43"
EL.A3GP.01,Other,Tumour,"10,96","12,56",",68",",18",",68","1,14",",42",",80",",22",",18",",66",",12","-,95",",82"
DJ.A2PZ.01,Other,Tumour,"10,47","13,96","2,83","6,33","-,75","1,35","-,03",",29","-1,06","-,74",",77","-,03","-1,02","1,01"
EL.A3CX.01,Other,Tumour,"1,67","5,55","-,24","-,71","3,13","1,16","-1,55","-2,36","-3,12","-,85","4,79","-1,90","2,20","-4,62"
EM.A3AK.01,Other,Tumour,"9,20","15,10",",99","2,42","-1,42","2,22","-,04","-,51","-1,01","-1,26","-,24",",63","-1,74",",33"
FE.A232.01,Other,Tumour,"13,07","14,63","1,18","7,04","-1,27","1,41",",17","-,14","-,65","-1,46","1,13","-,26",",09","1,39"
EL.A3CL.01,Other,Tumour,"7,84","14,18","2,54","-1,13","-2,70","2,99","-,80","-,09","-,20","-1,29","-1,39",",76","-2,87","2,05"
BJ.A45G.01,Other,Tumour,"14,21","15,69",",81","6,04","-3,47","1,26","-,36","-1,85","-1,49","-,80","1,26","-,29","1,98","1,12"
EL.A4K2.01,Other,Tumour,"15,16","16,43","1,32","1,37","-1,54",",98","-,23","-,38","-,31","-1,60","3,41","-1,42","2,32","1,71"
DJ.A3V4.01,Other,Tumour,"11,77","14,51","2,53","2,64","-2,39",",93",",26","-,18","-,84","-1,27","1,99",",22","-,40",",33"
E8.A438.01,Other,Tumour,"7,74","14,48",",76","-1,38","-1,68","2,07","-1,18","-3,23","-1,88","-1,87","-2,40","-1,22","2,14","-1,05"
EM.A2CM.01,Other,Tumour,"10,63","13,23",",64","-2,24","-5,97","1,79","-,48","-1,23","-2,07","-2,10","-2,94","-,60","3,55","-1,53"
FE.A3PA.01,Other,Tumour,"9,78","13,23","1,72",",42","-2,16","2,04","-,61","-2,39","-2,26","-1,25",",28","-,82","1,06","1,42"
EM.A3FL.01,Other,Tumour,"15,81","16,18","1,62","6,67","-4,40",",52","-1,48","-3,22","-2,22","-1,39","3,37","-1,06","4,34","1,54"
BJ.A3PR.01,Classical,Tumour,"11,14","12,70","1,61","6,57","-,39","1,62","-,54",",56","-,58","-,81",",14","-1,29",",53","1,89"
BJ.A28Z.01,Other,Tumour,"8,65","13,02","3,75","1,08","-,96","1,30",",16",",19",",04","-1,20","-,84","-,01","-1,59",",78"
FY.A4B3.01,Other,Tumour,"11,06","13,03","3,52","3,36","-1,57","1,54","-,05",",98","-1,29","-1,24","1,03","1,39","-1,65",",97"
EL.A3GS.01,Other,Tumour,"7,86","14,23","3,33","-,30","-3,53","2,57","-,52","1,42","-,47","-1,24",",12","1,22","-2,87","1,00"
BJ.A28V.01,Other,Tumour,"13,66","15,25",",32","6,40","-2,86","1,97","-1,47","-4,74",",41","-,15","3,89","-,21","1,81","1,95"
DJ.A13P.01,Other,Tumour,"7,68","15,17","1,04","-1,85","-2,35","1,19",",60","-1,83","-,87","-2,11","1,19","-,44","-1,51","3,27"
ET.A3DO.01,Other,Tumour,"6,98","11,46","2,91","-,82","-,27","1,92","-,19",",56","-,45","-,84","-1,68","-,52","-2,37","1,44"
EL.A3GQ.01,Other,Tumour,"11,91","14,63","1,56","5,51","-1,14","1,02",",47","-1,29","-,43","-,91","1,30","1,75","-2,09",",93"
FE.A231.01,Other,Tumour,"2,45","12,84","1,89","-2,24","4,33","1,09",",22",",91","-1,15","-3,52","-,86",",40","-,82",",83"
J8.A4HW.01,Other,Tumour,"10,90","14,25","2,14","2,99","-2,96","1,10","-,69",",96",",90","-1,02","2,82",",47","-2,43","1,80"
DJ.A3V8.01,Other,Tumour,"8,57","13,67","3,10","1,05","-2,31","1,78","-,11",",63","-,76","-1,90",",56","-,55","-1,57","1,08"
EM.A3AL.01,Other,Tumour,"14,14","14,94",",60","6,61","-2,22","1,89","-1,60","-4,10","-,20","-,12","3,36","-,37","2,15","-1,37"
MK.A4N6.01,Other,Tumour,"8,15","12,72","2,32","-,22","-,17","1,40",",85","1,04","-,54","-1,83","-1,12",",49","-2,87",",95"
EL.A3CV.01,Other,Tumour,"5,40","13,34","2,41","-1,26","-,05","2,04",",84",",75",",02","-,36",",59",",93","-2,15","1,66"
EL.A3H2.01,Classical,Tumour,"15,61","16,18","-2,44","8,58","-3,59",",27","-1,50","-3,97","-1,11","-2,22","4,02","-,98","3,37",",73"
DJ.A1QE.01,Other,Tumour,"8,47","12,39","3,29","1,87","-1,04","2,46",",46","1,05","-,21","-1,47","-,69","1,85","-,06","1,81"
J8.A3YD.01,Other,Tumour,"14,59","15,40",",74","9,85","-1,72","1,43","-,60","-1,27","-,97","-,94","3,00","-,72","3,33","1,28"
DJ.A3UW.01,Other,Tumour,"9,12","12,87","2,67",",74","-,52","1,55","-,04",",50","-,76","-,94",",95","-,58",",26","1,66"
EL.A4K7.01,Other,Tumour,"7,20","14,64","2,59","-,49","-1,44","2,12","-1,61",",14","-2,43","-1,26","-,77","-1,07","-2,87","1,07"
EM.A2CN.01,Other,Tumour,"14,07","14,78","2,39","-,96","-3,69",",81","-,77","-1,76","-2,01","-,44","1,70","-1,13","1,74",",74"
DJ.A2Q6.01,Other,Tumour,"5,28","14,09","2,41","-1,45","-,27","1,37",",10","-,68","-,73","-,49","-1,02","1,15","-2,08","1,12"
EM.A1CW.01,Classical,Tumour,"13,91","15,77","1,02","3,07","-3,60",",65",",14","-1,56","-2,48","-1,19","3,13","-1,31","4,20","-,03"
EL.A3H3.01,Other,Tumour,"8,28","12,11","2,79","4,17","1,43","1,20","-,24","1,93","-,34",",00","-1,95","-,06","1,21","1,17"
J8.A3O2.01,Other,Tumour,"13,22","14,12","2,84","-,33","-1,61",",59",",11","-,17",",08","-1,14","1,26",",64","-,61","1,93"
EL.A3CM.01,Other,Tumour,"8,40","13,52","2,53","-1,38",",02","1,40",",41",",03","-,93","-,59","-1,76",",80","-1,47","1,71"
FY.A3BL.01,Other,Tumour,"9,70","13,76","2,93","-2,24","-2,04","1,21",",21","-,24","-,61","-1,95","-,32",",35","-1,29","1,37"
DJ.A3VB.01,Other,Tumour,"8,07","12,15","3,57","-,09","-,79","2,23","-,32","1,00","-1,69","-1,36","-2,83","-,68","-1,50","1,45"
J8.A3YG.01,Other,Tumour,"10,23","13,15","1,91","5,28","-,37","2,26",",00",",40","-,76","-1,53",",26",",31","-1,12","1,15"
BJ.A291.01,Other,Tumour,"8,57","14,15","1,57","12,18","-3,46",",12","-1,27","-2,41","-3,28","-,17","3,22","-1,28",",76",",62"
EM.A2OV.01,Other,Tumour,"14,07","15,11",",79","8,16","-4,38","-1,11","-2,28","-1,41","-1,29","-1,22","3,76",",37","4,19","2,43"
DJ.A2Q4.01,Other,Tumour,"9,34","13,75","3,68","2,16","-2,24","2,16","-,09",",98","-,57","-1,16",",44",",26","-2,55","2,13"
CE.A485.01,Other,Tumour,"10,05","13,09","3,60","4,48","-,56","1,76","-,64","-,49","-,67","-,69",",99",",10","-,01","1,10"
DJ.A2PN.01,Other,Tumour,"10,97","14,54","2,89",",26","-1,44","2,31","-,70",",29",",38","-,94","1,72",",93","-,72","1,96"
IM.A4EB.01,Other,Tumour,"8,58","12,60","3,31","1,31","-1,40","2,03","-,29",",14","-,64","-,94","-,95","-,76","-2,87","1,28"
EM.A3O9.01,Other,Tumour,"10,21","11,60","1,86","-2,24","-2,80","-1,44",",83","-,59","-1,92",",26","-,97","-1,35","4,61","-3,77"
ET.A25O.01,Other,Tumour,"8,28","14,92","1,37","-1,57","-1,81","1,66",",40","-2,67","-,60","-2,02","-1,16",",43","-1,95","1,53"
KS.A41L.01,Follicular,Tumour,"12,73","15,59","-,54","8,46","-2,34",",66","-2,14","-4,56","-,82","-3,18","2,66","-1,84","2,87","1,94"
J8.A3NZ.01,Other,Tumour,"5,47","12,76","2,11","-1,87","-1,89","1,64",",08",",84","-1,05","-,89","-2,43",",56","-2,49",",90"
DJ.A1QG.01,Other,Tumour,"10,41","14,63",",14","-,99","-2,74","2,09",",53","-1,21","-2,01","-,69","-1,43","-,10","3,34",",17"
